version,subject,condition,stim_set,total_choices,gini,entropy,max_choice,choice,choice_num
1,p132,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p132,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p132,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p132,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p132,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p132,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p132,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p133,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p133,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p133,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p133,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p133,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p133,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p133,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p133,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p134,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p134,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p134,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p134,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p134,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p134,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p134,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p134,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p135,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p135,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p135,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p135,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p135,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p135,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p135,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p135,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p136,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p136,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p136,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p136,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p136,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p136,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p136,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p136,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p137,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p137,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p137,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p137,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p137,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p137,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p137,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p137,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p138,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p138,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p138,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p138,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p138,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p138,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p138,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p138,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p139,passive,1,8,0,1.3862943611198906,2,choice1_num,2
1,p139,passive,1,8,0,1.3862943611198906,2,choice2_num,2
1,p139,passive,1,8,0,1.3862943611198906,2,choice3_num,2
1,p139,passive,1,8,0,1.3862943611198906,2,choice4_num,2
1,p139,passive,2,8,0,1.3862943611198906,2,choice1_num,2
1,p139,passive,2,8,0,1.3862943611198906,2,choice2_num,2
1,p139,passive,2,8,0,1.3862943611198906,2,choice3_num,2
1,p139,passive,2,8,0,1.3862943611198906,2,choice4_num,2
1,p140,active,1,8,0,1.3862943611198906,2,choice1_num,2
1,p140,active,1,8,0,1.3862943611198906,2,choice2_num,2
1,p140,active,1,8,0,1.3862943611198906,2,choice3_num,2
1,p140,active,1,8,0,1.3862943611198906,2,choice4_num,2
1,p140,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p140,active,2,8,0,1.3862943611198906,2,choice2_num,2
1,p140,active,2,8,0,1.3862943611198906,2,choice3_num,2
1,p140,active,2,8,0,1.3862943611198906,2,choice4_num,2
1,p141,active,1,8,0.25,1.3208883431493221,3,choice1_num,2
1,p141,active,1,8,0.25,1.3208883431493221,3,choice2_num,3
1,p141,active,1,8,0.25,1.3208883431493221,3,choice3_num,2
1,p141,active,1,8,0.25,1.3208883431493221,3,choice4_num,1
1,p141,active,2,8,0,1.3862943611198906,2,choice1_num,2
1,p141,active,2,8,0,1.3862943611198906,2,choice2_num,2
